trialNumber,optionChose,rewardOutcomeDollars
1,1,1
2,1,1
3,2,1
4,2,1
5,2,0
6,1,1
7,2,0
8,1,1
9,2,0
10,2,0
11,1,0
12,2,0
13,2,1
14,2,0
15,1,1
16,1,0
17,2,0
18,1,0
19,1,1
20,2,0
21,1,1
22,2,0
23,2,0
24,2,0
25,1,0
26,2,1
27,1,1
28,2,1
29,2,0
30,1,1
31,2,0
32,2,0
33,1,0
34,1,1
35,2,0
36,1,1
37,1,0
38,1,1
39,2,0
40,2,0
41,1,1
42,2,0
43,2,1
44,1,1
45,1,1
46,1,0
47,2,0
48,1,1
49,2,1
50,1,0
51,1,0
52,2,0
53,2,1
54,1,1
55,2,0
56,1,1
57,2,1
58,2,0
59,2,0
60,2,0
61,2,1
62,1,0
63,2,0
64,2,0
65,2,1
66,1,0
67,1,0
68,1,1
69,1,0
70,1,1
71,1,0
72,2,0
73,2,1
74,1,1
75,2,0
76,2,1
77,2,1
78,2,1
79,2,0
80,1,1
81,2,1
82,1,0
83,1,1
84,2,0
85,1,1
86,1,0
87,1,0
88,2,0
89,2,1
90,2,0
91,2,0
92,2,1
93,2,1
94,1,0
95,2,1
96,2,1
97,1,1
98,1,1
99,2,0
100,1,1
101,2,0
102,1,0
103,2,1
104,1,1
105,2,0
106,2,1
107,1,1
108,1,0
109,2,1
110,1,1
111,1,1
112,2,0
113,1,0
114,2,0
115,2,1
116,1,1
117,2,0
118,2,0
119,2,1
120,2,1
121,2,0
122,2,0
123,1,1
124,1,0
125,1,0
126,1,1
127,1,1
128,2,0
129,2,1
130,2,0
131,2,1
132,1,0
133,1,1
134,1,1
135,2,0
136,1,0
137,2,0
138,2,0
139,2,0
140,1,1
141,2,0
142,1,0
143,1,0
144,2,0
145,2,0
146,1,1
147,2,1
148,1,1
149,1,0
150,1,1
151,1,1
152,1,1
153,2,0
154,1,1
155,2,0
156,1,1
157,1,0
158,2,0
159,1,1
160,1,1
161,2,0
162,2,1
163,2,0
164,2,0
165,1,1
166,2,1
167,1,1
168,2,0
169,1,0
170,1,1
171,2,1
172,2,0
173,1,1
174,1,1
175,2,1
176,1,1
177,1,1
178,2,1
179,2,0
180,2,0
181,2,0
182,2,1
183,2,0
184,2,0
185,2,1
186,2,0
187,1,1
188,2,1
189,1,0
190,1,1
191,1,1
192,2,0
193,1,0
194,1,1
195,2,0
196,2,1
197,1,0
198,1,0
199,1,1
200,1,1
