#time (msec), membrane voltage (mV), stimulus level (nA), m, h, g_Na (uS)
    0.10,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.21,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.31,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.42,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.52,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.63,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.73,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.84,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.94,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.05,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.15,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.26,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.36,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.47,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.57,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.68,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.78,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.89,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.99,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.10,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.20,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.31,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.41,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.52,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.62,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.73,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.83,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.94,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.04,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.15,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.25,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.36,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.46,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.57,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.67,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.77,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.88,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.98,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.09,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.19,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.30,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.40,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.51,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.61,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.72,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.82,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.93,  -62.72,   0.0,    0.069,    0.515, 0.000677
    5.03,  -62.72,   0.0,    0.069,    0.515, 0.000677
    5.14,  -62.72,   0.0,    0.069,    0.515, 0.000677
    5.24,  -62.72,   0.0,    0.069,    0.515, 0.000676
    5.35,  -62.72,   0.0,    0.069,    0.515, 0.000676
    5.45,  -61.67,  10.0,    0.069,    0.515, 0.000676
    5.56,  -60.66,  10.0,   0.0733,    0.514, 0.000811
    5.66,  -59.66,  10.0,   0.0799,    0.513,  0.00104
    5.77,  -58.64,  10.0,   0.0878,     0.51,  0.00138
    5.87,  -57.56,  10.0,   0.0969,    0.507,  0.00185
    5.98,  -56.37,  10.0,    0.107,    0.504,   0.0025
    6.08,  -55.01,  10.0,     0.12,    0.499,  0.00343
    6.19,  -53.36,  10.0,    0.135,    0.493,  0.00481
    6.29,  -51.21,  10.0,    0.153,    0.485,  0.00699
    6.40,  -48.16,  10.0,    0.178,    0.476,   0.0108
    6.50,  -44.31,   0.0,    0.215,    0.463,   0.0183
    6.61,  -36.60,   0.0,    0.267,    0.444,   0.0337
    6.66,  -30.88,   0.0,    0.316,    0.429,    0.054
    6.68,  -27.37,   0.0,    0.349,    0.419,    0.071
    6.71,  -22.79,   0.0,    0.386,    0.408,   0.0941
    6.74,  -16.90,   0.0,     0.43,    0.396,    0.126
    6.75,  -13.78,   0.0,    0.456,     0.39,    0.148
    6.76,  -10.27,   0.0,    0.484,    0.383,    0.173
    6.78,   -6.37,   0.0,    0.513,    0.376,    0.203
    6.79,   -2.09,   0.0,    0.545,    0.369,    0.239
    6.80,    2.50,   0.0,    0.577,    0.362,    0.279
    6.82,    7.33,   0.0,    0.612,    0.355,    0.325
    6.83,   12.26,   0.0,    0.646,    0.348,    0.376
    6.84,   17.13,   0.0,    0.681,    0.342,    0.432
    6.86,   21.75,   0.0,    0.716,    0.335,    0.492
    6.87,   25.95,   0.0,    0.749,    0.328,    0.552
    6.88,   29.58,   0.0,     0.78,    0.322,    0.612
    6.89,   32.57,   0.0,    0.809,    0.316,    0.669
    6.92,   37.55,   0.0,     0.86,    0.304,    0.771
    6.95,   39.08,   0.0,    0.899,    0.292,    0.848
    6.97,   38.90,   0.0,    0.928,     0.28,    0.896
    7.00,   37.99,   0.0,    0.948,    0.269,    0.919
    7.03,   36.73,   0.0,    0.963,    0.259,    0.924
    7.05,   35.26,   0.0,    0.973,    0.249,    0.916
    7.08,   33.63,   0.0,     0.98,    0.239,      0.9
    7.10,   31.88,   0.0,    0.985,     0.23,    0.878
    7.13,   30.03,   0.0,    0.988,    0.221,    0.852
    7.16,   28.11,   0.0,     0.99,    0.212,    0.825
    7.18,   26.12,   0.0,    0.992,    0.204,    0.797
    7.21,   24.09,   0.0,    0.993,    0.196,    0.769
    7.24,   22.02,   0.0,    0.994,    0.189,     0.74
    7.26,   19.92,   0.0,    0.994,    0.181,    0.712
    7.29,   17.82,   0.0,    0.994,    0.174,    0.685
    7.31,   15.70,   0.0,    0.994,    0.168,    0.658
    7.34,   13.59,   0.0,    0.993,    0.161,    0.632
    7.37,   11.49,   0.0,    0.993,    0.155,    0.607
    7.39,    9.40,   0.0,    0.992,    0.149,    0.582
    7.42,    7.32,   0.0,    0.991,    0.143,    0.558
    7.44,    5.27,   0.0,     0.99,    0.138,    0.535
    7.47,    3.24,   0.0,    0.989,    0.133,    0.513
    7.50,    1.23,   0.0,    0.987,    0.128,    0.492
    7.52,   -0.75,   0.0,    0.986,    0.123,    0.471
    7.55,   -2.71,   0.0,    0.984,    0.118,    0.451
    7.58,   -4.64,   0.0,    0.981,    0.114,    0.431
    7.60,   -6.54,   0.0,    0.979,     0.11,    0.412
    7.63,   -8.41,   0.0,    0.976,    0.106,    0.394
    7.65,  -10.25,   0.0,    0.972,    0.102,    0.376
    7.68,  -12.07,   0.0,    0.969,   0.0988,    0.359
    7.71,  -13.86,   0.0,    0.964,   0.0954,    0.342
    7.73,  -15.62,   0.0,     0.96,   0.0923,    0.326
    7.76,  -17.36,   0.0,    0.954,   0.0894,    0.311
    7.79,  -19.07,   0.0,    0.948,   0.0866,    0.295
    7.81,  -20.76,   0.0,    0.942,   0.0841,    0.281
    7.84,  -22.43,   0.0,    0.934,   0.0817,    0.267
    7.86,  -24.08,   0.0,    0.926,   0.0795,    0.253
    7.89,  -25.72,   0.0,    0.917,   0.0775,    0.239
    7.92,  -27.35,   0.0,    0.907,   0.0757,    0.226
    7.94,  -28.96,   0.0,    0.896,   0.0741,    0.213
    8.00,  -33.67,   0.0,    0.873,   0.0712,    0.189
    8.05,  -37.13,   0.0,    0.839,   0.0693,    0.164
    8.10,  -40.68,   0.0,    0.799,   0.0681,    0.139
    8.15,  -44.41,   0.0,    0.751,   0.0677,    0.115
    8.21,  -48.37,   0.0,    0.693,    0.068,   0.0908
    8.26,  -52.59,   0.0,    0.625,   0.0692,   0.0676
    8.31,  -56.94,   0.0,    0.545,   0.0711,    0.046
    8.36,  -61.16,   0.0,    0.454,    0.074,   0.0277
    8.41,  -64.84,   0.0,    0.357,   0.0778,   0.0142
    8.52,  -71.52,   0.0,    0.187,   0.0872,  0.00227
    8.62,  -71.60,   0.0,    0.067,    0.101, 0.000121
    8.73,  -71.61,   0.0,    0.035,    0.114, 1.96e-05
    8.83,  -71.58,   0.0,   0.0266,    0.127, 9.61e-06
    8.94,  -71.54,   0.0,   0.0245,     0.14, 8.24e-06
    9.04,  -71.50,   0.0,    0.024,    0.152, 8.47e-06
    9.15,  -71.45,   0.0,    0.024,    0.165, 9.11e-06
    9.25,  -71.41,   0.0,   0.0241,    0.177, 9.88e-06
    9.36,  -71.36,   0.0,   0.0242,    0.188, 1.07e-05
    9.46,  -71.31,   0.0,   0.0244,      0.2, 1.16e-05
    9.57,  -71.25,   0.0,   0.0245,    0.211, 1.24e-05
    9.67,  -71.20,   0.0,   0.0247,    0.222, 1.33e-05
    9.78,  -71.14,   0.0,   0.0248,    0.233, 1.43e-05
    9.88,  -71.08,   0.0,    0.025,    0.243, 1.52e-05
    9.99,  -71.02,   0.0,   0.0252,    0.253, 1.62e-05
   10.09,  -70.95,   0.0,   0.0254,    0.263, 1.73e-05
   10.20,  -70.88,   0.0,   0.0256,    0.273, 1.83e-05
   10.30,  -70.81,   0.0,   0.0258,    0.283, 1.95e-05
   10.41,  -70.74,   0.0,    0.026,    0.292, 2.06e-05
   10.51,  -70.66,   0.0,   0.0263,    0.301, 2.19e-05
   10.62,  -70.59,   0.0,   0.0265,     0.31, 2.31e-05
   10.72,  -70.50,   0.0,   0.0268,    0.319, 2.45e-05
   10.83,  -70.42,   0.0,    0.027,    0.327, 2.59e-05
   10.93,  -70.34,   0.0,   0.0273,    0.335, 2.73e-05
   11.04,  -70.25,   0.0,   0.0276,    0.343, 2.89e-05
   11.14,  -70.16,   0.0,   0.0279,    0.351, 3.05e-05
   11.25,  -70.07,   0.0,   0.0282,    0.359, 3.22e-05
   11.35,  -69.97,   0.0,   0.0285,    0.366,  3.4e-05
   11.46,  -69.88,   0.0,   0.0289,    0.374, 3.59e-05
   11.56,  -69.78,   0.0,   0.0292,    0.381, 3.79e-05
   11.67,  -69.68,   0.0,   0.0295,    0.387,    4e-05
   11.77,  -69.58,   0.0,   0.0299,    0.394, 4.22e-05
   11.88,  -69.47,   0.0,   0.0303,    0.401, 4.45e-05
   11.98,  -69.37,   0.0,   0.0307,    0.407, 4.69e-05
   12.08,  -69.26,   0.0,   0.0311,    0.413, 4.95e-05
   12.19,  -69.15,   0.0,   0.0315,    0.419, 5.22e-05
   12.29,  -69.04,   0.0,   0.0319,    0.425,  5.5e-05
   12.40,  -68.93,   0.0,   0.0323,     0.43,  5.8e-05
   12.50,  -68.82,   0.0,   0.0327,    0.436, 6.12e-05
   12.61,  -68.71,   0.0,   0.0332,    0.441, 6.45e-05
   12.71,  -68.59,   0.0,   0.0336,    0.446,  6.8e-05
   12.82,  -68.48,   0.0,   0.0341,    0.451, 7.16e-05
   12.92,  -68.36,   0.0,   0.0346,    0.456, 7.55e-05
   13.03,  -68.25,   0.0,   0.0351,     0.46, 7.95e-05
   13.13,  -68.13,   0.0,   0.0356,    0.465, 8.38e-05
   13.24,  -68.01,   0.0,   0.0361,    0.469, 8.82e-05
   13.34,  -67.89,   0.0,   0.0366,    0.473, 9.29e-05
   13.45,  -67.77,   0.0,   0.0371,    0.477, 9.78e-05
   13.55,  -66.60,  10.0,   0.0377,    0.481, 0.000103
   13.66,  -65.52,  10.0,   0.0413,    0.484, 0.000137
   13.76,  -64.52,  10.0,   0.0462,    0.487, 0.000192
   13.87,  -63.57,  10.0,   0.0517,    0.488, 0.000269
   13.97,  -62.67,  10.0,   0.0575,    0.489, 0.000372
   14.08,  -61.79,  10.0,   0.0636,     0.49, 0.000505
   14.18,  -60.94,  10.0,   0.0701,     0.49, 0.000675
   14.29,  -60.09,  10.0,    0.077,    0.489, 0.000892
   14.39,  -59.24,  10.0,   0.0843,    0.487,  0.00117
   14.50,  -58.35,  10.0,   0.0922,    0.485,  0.00152
   14.60,  -58.45,   0.0,    0.101,    0.483,  0.00198
   14.71,  -58.47,   0.0,    0.105,     0.48,  0.00224
   14.81,  -58.45,   0.0,    0.108,    0.478,  0.00238
   14.92,  -58.43,   0.0,    0.109,    0.475,  0.00246
   15.02,  -58.40,   0.0,     0.11,    0.473,  0.00251
   15.13,  -58.38,   0.0,    0.111,    0.471,  0.00254
   15.23,  -58.37,   0.0,    0.111,    0.468,  0.00256
   15.34,  -58.38,   0.0,    0.111,    0.466,  0.00257
   15.44,  -58.39,   0.0,    0.111,    0.464,  0.00257
   15.55,  -58.43,   0.0,    0.111,    0.462,  0.00256
   15.65,  -58.48,   0.0,    0.111,     0.46,  0.00253
   15.75,  -58.55,   0.0,    0.111,    0.458,   0.0025
   15.86,  -58.64,   0.0,     0.11,    0.456,  0.00245
   15.96,  -58.76,   0.0,     0.11,    0.454,  0.00239
