#time (msec), membrane voltage (mV), stimulus level (nA), m, h, n
    0.10,  -61.85,   0.0,   0.0775,    0.497,    0.365
    0.20,  -61.92,   0.0,   0.0769,    0.497,    0.365
    0.30,  -61.99,   0.0,   0.0763,    0.497,    0.365
    0.40,  -62.07,   0.0,   0.0756,    0.496,    0.365
    0.50,  -62.14,   0.0,    0.075,    0.496,    0.365
    0.60,  -62.22,   0.0,   0.0744,    0.496,    0.365
    0.70,  -62.30,   0.0,   0.0737,    0.496,    0.365
    0.80,  -62.37,   0.0,   0.0731,    0.496,    0.365
    0.90,  -62.45,   0.0,   0.0725,    0.496,    0.365
    1.00,  -62.52,   0.0,   0.0718,    0.497,    0.364
    1.10,  -62.59,   0.0,   0.0712,    0.497,    0.364
    1.20,  -62.66,   0.0,   0.0706,    0.497,    0.364
    1.30,  -62.73,   0.0,   0.0701,    0.497,    0.364
    1.40,  -62.79,   0.0,   0.0695,    0.498,    0.363
    1.50,  -62.86,   0.0,    0.069,    0.498,    0.363
    1.60,  -62.92,   0.0,   0.0684,    0.498,    0.363
    1.70,  -62.98,   0.0,   0.0679,    0.499,    0.362
    1.80,  -63.03,   0.0,   0.0675,    0.499,    0.362
    1.90,  -63.08,   0.0,    0.067,      0.5,    0.362
    2.00,  -63.13,   0.0,   0.0666,      0.5,    0.361
    2.10,  -63.18,   0.0,   0.0662,    0.501,    0.361
    2.20,  -63.22,   0.0,   0.0658,    0.501,     0.36
    2.30,  -63.26,   0.0,   0.0655,    0.502,     0.36
    2.40,  -63.30,   0.0,   0.0652,    0.502,    0.359
    2.50,  -63.33,   0.0,   0.0649,    0.503,    0.359
    2.60,  -63.36,   0.0,   0.0646,    0.504,    0.359
    2.70,  -63.39,   0.0,   0.0643,    0.504,    0.358
    2.80,  -63.41,   0.0,   0.0641,    0.505,    0.358
    2.90,  -63.44,   0.0,   0.0639,    0.506,    0.357
    3.00,  -63.45,   0.0,   0.0637,    0.506,    0.357
    3.10,  -63.47,   0.0,   0.0636,    0.507,    0.356
    3.20,  -63.48,   0.0,   0.0634,    0.507,    0.356
    3.30,  -63.49,   0.0,   0.0633,    0.508,    0.356
    3.40,  -63.50,   0.0,   0.0632,    0.509,    0.355
    3.50,  -63.51,   0.0,   0.0631,    0.509,    0.355
    3.60,  -63.51,   0.0,   0.0631,     0.51,    0.354
    3.70,  -63.51,   0.0,    0.063,     0.51,    0.354
    3.80,  -63.51,   0.0,    0.063,    0.511,    0.354
    3.90,  -63.51,   0.0,    0.063,    0.512,    0.353
    4.00,  -63.50,   0.0,    0.063,    0.512,    0.353
    4.10,  -63.50,   0.0,    0.063,    0.513,    0.353
    4.20,  -63.49,   0.0,   0.0631,    0.513,    0.352
    4.30,  -63.48,   0.0,   0.0631,    0.514,    0.352
    4.40,  -63.47,   0.0,   0.0632,    0.514,    0.352
    4.50,  -63.45,   0.0,   0.0632,    0.515,    0.351
    4.60,  -63.44,   0.0,   0.0633,    0.515,    0.351
    4.70,  -63.42,   0.0,   0.0634,    0.516,    0.351
    4.80,  -63.41,   0.0,   0.0635,    0.516,    0.351
    4.90,  -63.39,   0.0,   0.0636,    0.517,     0.35
    5.00,  -63.37,   0.0,   0.0638,    0.517,     0.35
    5.10,  -63.35,   0.0,   0.0639,    0.517,     0.35
    5.20,  -63.33,   0.0,    0.064,    0.518,     0.35
    5.30,  -63.31,   0.0,   0.0642,    0.518,     0.35
