#time (msec), membrane voltage (mV), stimulus level (nA), m, h, n
    0.10,  -63.21,   0.0,   0.0649,    0.519,    0.349
    0.20,  -63.19,   0.0,    0.065,     0.52,    0.349
    0.30,  -63.16,   0.0,   0.0652,     0.52,    0.349
    0.40,  -63.14,   0.0,   0.0654,     0.52,    0.349
    0.50,  -63.11,   0.0,   0.0656,     0.52,    0.349
    0.60,  -63.08,   0.0,   0.0658,     0.52,    0.349
    0.70,  -63.06,   0.0,    0.066,     0.52,    0.349
    0.80,  -63.03,   0.0,   0.0662,    0.521,    0.349
    0.90,  -63.00,   0.0,   0.0664,    0.521,    0.349
    1.00,  -62.98,   0.0,   0.0666,    0.521,    0.349
    1.10,  -62.95,   0.0,   0.0668,    0.521,    0.349
    1.20,  -62.93,   0.0,    0.067,    0.521,    0.349
    1.30,  -62.90,   0.0,   0.0672,    0.521,    0.349
    1.40,  -62.87,   0.0,   0.0674,    0.521,    0.349
    1.50,  -62.85,   0.0,   0.0676,    0.521,    0.349
    1.60,  -62.82,   0.0,   0.0678,    0.521,    0.349
    1.70,  -62.80,   0.0,    0.068,    0.521,    0.349
    1.80,  -62.78,   0.0,   0.0682,    0.521,    0.349
    1.90,  -62.75,   0.0,   0.0684,    0.521,    0.349
    2.00,  -62.73,   0.0,   0.0686,    0.521,    0.349
    2.10,  -62.70,   0.0,   0.0687,     0.52,    0.349
    2.20,  -62.68,   0.0,   0.0689,     0.52,    0.349
    2.30,  -62.66,   0.0,   0.0691,     0.52,     0.35
    2.40,  -62.64,   0.0,   0.0693,     0.52,     0.35
    2.50,  -62.62,   0.0,   0.0695,     0.52,     0.35
    2.60,  -62.60,   0.0,   0.0696,     0.52,     0.35
    2.70,  -62.58,   0.0,   0.0698,     0.52,     0.35
    2.80,  -62.56,   0.0,     0.07,    0.519,     0.35
    2.90,  -62.54,   0.0,   0.0701,    0.519,     0.35
    3.00,  -62.53,   0.0,   0.0702,    0.519,    0.351
    3.10,  -62.51,   0.0,   0.0704,    0.519,    0.351
    3.20,  -62.50,   0.0,   0.0705,    0.519,    0.351
    3.30,  -62.48,   0.0,   0.0707,    0.518,    0.351
    3.40,  -62.47,   0.0,   0.0708,    0.518,    0.351
    3.50,  -62.46,   0.0,   0.0709,    0.518,    0.351
    3.60,  -62.44,   0.0,    0.071,    0.518,    0.352
    3.70,  -62.43,   0.0,   0.0711,    0.518,    0.352
    3.80,  -62.42,   0.0,   0.0712,    0.517,    0.352
    3.90,  -62.42,   0.0,   0.0713,    0.517,    0.352
    4.00,  -62.41,   0.0,   0.0714,    0.517,    0.352
    4.10,  -62.40,   0.0,   0.0714,    0.517,    0.352
    4.20,  -62.39,   0.0,   0.0715,    0.516,    0.353
    4.30,  -62.39,   0.0,   0.0716,    0.516,    0.353
    4.40,  -62.39,   0.0,   0.0716,    0.516,    0.353
    4.50,  -62.38,   0.0,   0.0716,    0.516,    0.353
