#time (msec), membrane voltage (mV), stimulus level (nA), m, h, n
    0.10,  -63.15,   0.0,   0.0655,    0.517,    0.351
    0.20,  -63.13,   0.0,   0.0656,    0.517,     0.35
    0.30,  -63.12,   0.0,   0.0657,    0.517,     0.35
    0.40,  -63.10,   0.0,   0.0658,    0.517,     0.35
    0.50,  -63.08,   0.0,   0.0659,    0.517,     0.35
    0.60,  -63.06,   0.0,   0.0661,    0.518,     0.35
    0.70,  -63.05,   0.0,   0.0662,    0.518,     0.35
    0.80,  -63.03,   0.0,   0.0663,    0.518,     0.35
    0.90,  -63.01,   0.0,   0.0665,    0.518,     0.35
    1.00,  -62.99,   0.0,   0.0666,    0.518,     0.35
    1.10,  -62.97,   0.0,   0.0668,    0.518,     0.35
    1.20,  -62.95,   0.0,   0.0669,    0.518,     0.35
    1.30,  -62.93,   0.0,    0.067,    0.519,     0.35
    1.40,  -62.91,   0.0,   0.0672,    0.519,     0.35
    1.50,  -62.90,   0.0,   0.0673,    0.519,     0.35
    1.60,  -62.88,   0.0,   0.0675,    0.519,     0.35
    1.70,  -62.86,   0.0,   0.0676,    0.519,     0.35
    1.80,  -62.84,   0.0,   0.0678,    0.519,     0.35
    1.90,  -62.82,   0.0,   0.0679,    0.519,     0.35
    2.00,  -62.80,   0.0,   0.0681,    0.519,     0.35
    2.10,  -62.78,   0.0,   0.0682,    0.519,     0.35
    2.20,  -62.77,   0.0,   0.0683,    0.519,     0.35
    2.30,  -62.75,   0.0,   0.0685,    0.519,     0.35
    2.40,  -62.73,   0.0,   0.0686,    0.519,     0.35
    2.50,  -62.72,   0.0,   0.0688,    0.519,     0.35
    2.60,  -62.70,   0.0,   0.0689,    0.519,     0.35
    2.70,  -62.68,   0.0,    0.069,    0.518,     0.35
    2.80,  -62.67,   0.0,   0.0692,    0.518,    0.351
    2.90,  -62.65,   0.0,   0.0693,    0.518,    0.351
    3.00,  -62.64,   0.0,   0.0694,    0.518,    0.351
    3.10,  -62.62,   0.0,   0.0695,    0.518,    0.351
    3.20,  -62.61,   0.0,   0.0696,    0.518,    0.351
    3.30,  -62.60,   0.0,   0.0698,    0.518,    0.351
    3.40,  -62.59,   0.0,   0.0699,    0.518,    0.351
    3.50,  -62.57,   0.0,     0.07,    0.518,    0.351
    3.60,  -62.56,   0.0,   0.0701,    0.517,    0.351
    3.70,  -62.55,   0.0,   0.0702,    0.517,    0.352
    3.80,  -62.54,   0.0,   0.0702,    0.517,    0.352
    3.90,  -62.53,   0.0,   0.0703,    0.517,    0.352
    4.00,  -62.53,   0.0,   0.0704,    0.517,    0.352
    4.10,  -62.52,   0.0,   0.0705,    0.517,    0.352
    4.20,  -62.51,   0.0,   0.0705,    0.516,    0.352
    4.30,  -62.50,   0.0,   0.0706,    0.516,    0.352
    4.40,  -62.50,   0.0,   0.0707,    0.516,    0.352
    4.50,  -62.49,   0.0,   0.0707,    0.516,    0.352
    4.60,  -62.49,   0.0,   0.0708,    0.516,    0.353
    4.70,  -62.49,   0.0,   0.0708,    0.516,    0.353
    4.80,  -62.48,   0.0,   0.0708,    0.515,    0.353
    4.90,  -62.48,   0.0,   0.0709,    0.515,    0.353
    5.00,  -62.48,   0.0,   0.0709,    0.515,    0.353
    5.10,  -62.48,   0.0,   0.0709,    0.515,    0.353
    5.20,  -62.48,   0.0,   0.0709,    0.515,    0.353
    5.30,  -62.48,   0.0,   0.0709,    0.515,    0.353
    5.40,  -62.48,   0.0,   0.0709,    0.514,    0.353
    5.50,  -62.48,   0.0,   0.0709,    0.514,    0.354
    5.60,  -62.48,   0.0,   0.0709,    0.514,    0.354
    5.70,  -62.49,   0.0,   0.0709,    0.514,    0.354
    5.80,  -62.49,   0.0,   0.0709,    0.514,    0.354
    5.90,  -62.49,   0.0,   0.0709,    0.514,    0.354
    6.00,  -62.50,   0.0,   0.0708,    0.514,    0.354
    6.10,  -62.50,   0.0,   0.0708,    0.513,    0.354
    6.20,  -62.51,   0.0,   0.0708,    0.513,    0.354
    6.30,  -62.51,   0.0,   0.0707,    0.513,    0.354
    6.40,  -62.52,   0.0,   0.0707,    0.513,    0.354
    6.50,  -62.53,   0.0,   0.0706,    0.513,    0.354
    6.60,  -62.54,   0.0,   0.0706,    0.513,    0.354
    6.70,  -62.54,   0.0,   0.0705,    0.513,    0.354
    6.80,  -62.55,   0.0,   0.0705,    0.513,    0.354
    6.90,  -62.56,   0.0,   0.0704,    0.513,    0.355
    7.00,  -62.57,   0.0,   0.0704,    0.513,    0.355
    7.10,  -62.58,   0.0,   0.0703,    0.513,    0.355
    7.20,  -62.58,   0.0,   0.0702,    0.513,    0.355
    7.30,  -62.59,   0.0,   0.0702,    0.512,    0.355
    7.40,  -62.60,   0.0,   0.0701,    0.512,    0.355
    7.50,  -62.61,   0.0,     0.07,    0.512,    0.355
    7.60,  -62.62,   0.0,   0.0699,    0.512,    0.355
    7.70,  -62.63,   0.0,   0.0699,    0.512,    0.355
    7.80,  -62.64,   0.0,   0.0698,    0.512,    0.355
    7.90,  -62.65,   0.0,   0.0697,    0.512,    0.355
    8.00,  -62.66,   0.0,   0.0696,    0.512,    0.355
    8.10,  -62.67,   0.0,   0.0696,    0.512,    0.355
    8.20,  -62.68,   0.0,   0.0695,    0.512,    0.355
    8.30,  -62.68,   0.0,   0.0694,    0.512,    0.355
    8.40,  -62.69,   0.0,   0.0694,    0.512,    0.355
    8.50,  -62.70,   0.0,   0.0693,    0.512,    0.355
    8.60,  -62.71,   0.0,   0.0692,    0.512,    0.354
    8.70,  -62.72,   0.0,   0.0691,    0.512,    0.354
    8.80,  -62.73,   0.0,   0.0691,    0.513,    0.354
    8.90,  -62.73,   0.0,    0.069,    0.513,    0.354
    9.00,  -62.74,   0.0,   0.0689,    0.513,    0.354
    9.10,  -62.75,   0.0,   0.0689,    0.513,    0.354
    9.20,  -62.76,   0.0,   0.0688,    0.513,    0.354
    9.30,  -62.76,   0.0,   0.0688,    0.513,    0.354
    9.40,  -62.77,   0.0,   0.0687,    0.513,    0.354
    9.50,  -62.78,   0.0,   0.0687,    0.513,    0.354
    9.60,  -62.78,   0.0,   0.0686,    0.513,    0.354
    9.70,  -62.79,   0.0,   0.0686,    0.513,    0.354
    9.80,  -62.79,   0.0,   0.0685,    0.513,    0.354
    9.90,  -62.80,   0.0,   0.0685,    0.513,    0.354
   10.00,  -62.80,   0.0,   0.0684,    0.513,    0.354
   10.10,  -62.81,   0.0,   0.0684,    0.513,    0.354
   10.20,  -62.81,   0.0,   0.0684,    0.513,    0.354
   10.30,  -62.81,   0.0,   0.0683,    0.514,    0.354
   10.40,  -62.82,   0.0,   0.0683,    0.514,    0.354
   10.50,  -62.82,   0.0,   0.0683,    0.514,    0.354
   10.60,  -62.82,   0.0,   0.0682,    0.514,    0.353
   10.70,  -62.83,   0.0,   0.0682,    0.514,    0.353
   10.80,  -62.83,   0.0,   0.0682,    0.514,    0.353
   10.90,  -62.43,   4.0,   0.0682,    0.514,    0.353
   11.00,  -62.05,   4.0,   0.0697,    0.514,    0.353
   11.10,  -61.67,   4.0,    0.072,    0.513,    0.354
   11.20,  -61.30,   4.0,   0.0748,    0.513,    0.354
   11.30,  -60.92,   4.0,   0.0777,    0.512,    0.355
   11.40,  -60.54,   4.0,   0.0809,    0.511,    0.356
   11.50,  -60.15,   4.0,   0.0842,    0.509,    0.356
   11.60,  -59.75,   4.0,   0.0877,    0.508,    0.358
   11.70,  -59.34,   4.0,   0.0915,    0.506,    0.359
   11.80,  -58.90,   4.0,   0.0955,    0.504,     0.36
   11.90,  -58.43,   4.0,   0.0998,    0.501,    0.362
   12.00,  -57.93,   4.0,    0.104,    0.498,    0.364
   12.10,  -57.38,   4.0,     0.11,    0.495,    0.366
   12.20,  -56.76,   4.0,    0.116,    0.492,    0.368
   12.30,  -56.06,   4.0,    0.122,    0.488,     0.37
   12.40,  -55.24,   4.0,     0.13,    0.483,    0.373
   12.50,  -54.25,   4.0,    0.139,    0.478,    0.376
   12.60,  -53.01,   4.0,     0.15,    0.472,    0.379
   12.70,  -51.36,   4.0,    0.165,    0.465,    0.384
   12.80,  -49.05,   4.0,    0.184,    0.457,    0.389
   12.90,  -45.49,   4.0,    0.212,    0.446,    0.395
   13.00,  -39.32,   4.0,    0.254,    0.431,    0.403
   13.10,  -26.63,   4.0,    0.328,    0.407,    0.415
   13.12,  -23.24,   4.0,    0.367,    0.397,     0.42
   13.15,  -18.68,   4.0,     0.41,    0.386,    0.426
   13.17,  -12.77,   4.0,    0.457,    0.374,    0.433
   13.19,   -9.69,   4.0,    0.485,    0.368,    0.437
   13.20,   -6.24,   4.0,    0.514,    0.361,    0.442
   13.21,   -2.45,   4.0,    0.543,    0.355,    0.446
   13.22,    1.63,   4.0,    0.575,    0.349,    0.451
   13.24,    5.94,   4.0,    0.607,    0.342,    0.457
   13.25,   10.38,   4.0,    0.639,    0.336,    0.462
   13.26,   14.81,   4.0,    0.672,     0.33,    0.469
   13.27,   19.10,   4.0,    0.705,    0.324,    0.475
   13.29,   23.10,   4.0,    0.736,    0.318,    0.482
   13.30,   26.69,   4.0,    0.766,    0.312,    0.489
   13.31,   29.76,   4.0,    0.794,    0.306,    0.497
