#time (msec), membrane voltage (mV), stimulus level (nA), m, h, n
    0.10,  -61.85,   0.0,   0.0774,    0.497,    0.365
    0.20,  -61.92,   0.0,   0.0768,    0.497,    0.365
    0.30,  -62.00,   0.0,   0.0762,    0.497,    0.365
    0.40,  -62.07,   0.0,   0.0756,    0.496,    0.365
    0.50,  -62.15,   0.0,    0.075,    0.496,    0.365
    0.60,  -62.22,   0.0,   0.0743,    0.496,    0.365
    0.70,  -62.30,   0.0,   0.0737,    0.496,    0.365
    0.80,  -62.37,   0.0,   0.0731,    0.496,    0.365
    0.90,  -62.45,   0.0,   0.0724,    0.496,    0.365
    1.00,  -62.52,   0.0,   0.0718,    0.497,    0.364
    1.10,  -62.59,   0.0,   0.0712,    0.497,    0.364
    1.20,  -62.66,   0.0,   0.0706,    0.497,    0.364
    1.30,  -62.73,   0.0,     0.07,    0.497,    0.364
    1.40,  -62.80,   0.0,   0.0695,    0.498,    0.363
    1.50,  -62.86,   0.0,   0.0689,    0.498,    0.363
    1.60,  -62.92,   0.0,   0.0684,    0.498,    0.363
    1.70,  -62.98,   0.0,   0.0679,    0.499,    0.362
    1.80,  -63.03,   0.0,   0.0675,    0.499,    0.362
    1.90,  -63.08,   0.0,    0.067,      0.5,    0.362
    2.00,  -63.13,   0.0,   0.0666,      0.5,    0.361
    2.10,  -63.18,   0.0,   0.0662,    0.501,    0.361
    2.20,  -63.22,   0.0,   0.0658,    0.501,     0.36
    2.30,  -63.26,   0.0,   0.0655,    0.502,     0.36
    2.40,  -63.30,   0.0,   0.0652,    0.502,    0.359
    2.50,  -63.33,   0.0,   0.0649,    0.503,    0.359
    2.60,  -63.36,   0.0,   0.0646,    0.504,    0.359
    2.70,  -63.39,   0.0,   0.0643,    0.504,    0.358
    2.80,  -63.41,   0.0,   0.0641,    0.505,    0.358
    2.90,  -63.43,   0.0,   0.0639,    0.506,    0.357
    3.00,  -63.45,   0.0,   0.0637,    0.506,    0.357
    3.10,  -63.47,   0.0,   0.0636,    0.507,    0.356
    3.20,  -63.48,   0.0,   0.0634,    0.507,    0.356
    3.30,  -63.49,   0.0,   0.0633,    0.508,    0.356
    3.40,  -63.50,   0.0,   0.0632,    0.509,    0.355
    3.50,  -63.51,   0.0,   0.0631,    0.509,    0.355
    3.60,  -63.51,   0.0,   0.0631,     0.51,    0.354
    3.70,  -63.51,   0.0,    0.063,     0.51,    0.354
    3.80,  -63.51,   0.0,    0.063,    0.511,    0.354
    3.90,  -63.51,   0.0,    0.063,    0.512,    0.353
    4.00,  -63.50,   0.0,    0.063,    0.512,    0.353
    4.10,  -63.50,   0.0,    0.063,    0.513,    0.353
    4.20,  -63.49,   0.0,   0.0631,    0.513,    0.352
    4.30,  -63.48,   0.0,   0.0631,    0.514,    0.352
    4.40,  -63.47,   0.0,   0.0632,    0.514,    0.352
    4.50,  -63.45,   0.0,   0.0633,    0.515,    0.351
    4.60,  -63.44,   0.0,   0.0633,    0.515,    0.351
    4.70,  -63.42,   0.0,   0.0634,    0.516,    0.351
    4.80,  -63.40,   0.0,   0.0635,    0.516,    0.351
    4.90,  -63.39,   0.0,   0.0637,    0.517,     0.35
    5.00,  -63.37,   0.0,   0.0638,    0.517,     0.35
    5.10,  -63.35,   0.0,   0.0639,    0.517,     0.35
    5.20,  -63.33,   0.0,   0.0641,    0.518,     0.35
    5.30,  -63.30,   0.0,   0.0642,    0.518,     0.35
    5.40,  -63.28,   0.0,   0.0644,    0.518,    0.349
    5.50,  -63.26,   0.0,   0.0645,    0.519,    0.349
    5.60,  -63.24,   0.0,   0.0647,    0.519,    0.349
    5.70,  -63.21,   0.0,   0.0649,    0.519,    0.349
    5.80,  -63.07,   1.2,    0.065,    0.519,    0.349
    5.90,  -62.93,   1.2,   0.0657,     0.52,    0.349
    6.00,  -62.79,   1.2,   0.0665,     0.52,    0.349
    6.10,  -62.65,   1.2,   0.0675,     0.52,    0.349
    6.20,  -62.52,   1.2,   0.0685,    0.519,    0.349
    6.30,  -62.38,   1.2,   0.0695,    0.519,    0.349
    6.40,  -62.25,   1.2,   0.0706,    0.519,     0.35
    6.50,  -62.12,   1.2,   0.0717,    0.519,     0.35
    6.60,  -61.98,   1.2,   0.0728,    0.518,     0.35
    6.70,  -61.85,   1.2,   0.0739,    0.518,    0.351
    6.80,  -61.72,   1.2,    0.075,    0.517,    0.351
    6.90,  -61.59,   1.2,   0.0761,    0.516,    0.352
    7.00,  -61.46,   1.2,   0.0772,    0.515,    0.352
    7.10,  -61.33,   1.2,   0.0784,    0.515,    0.353
    7.20,  -61.20,   1.2,   0.0795,    0.514,    0.353
    7.30,  -61.07,   1.2,   0.0807,    0.513,    0.354
    7.40,  -60.93,   1.2,   0.0819,    0.512,    0.355
    7.50,  -60.80,   1.2,    0.083,     0.51,    0.356
    7.60,  -60.67,   1.2,   0.0843,    0.509,    0.356
    7.70,  -60.54,   1.2,   0.0855,    0.508,    0.357
    7.80,  -60.41,   1.2,   0.0867,    0.507,    0.358
    7.90,  -60.28,   1.2,    0.088,    0.505,    0.359
    8.00,  -60.14,   1.2,   0.0893,    0.504,     0.36
    8.10,  -60.01,   1.2,   0.0906,    0.502,    0.361
    8.20,  -59.88,   1.2,   0.0919,      0.5,    0.362
    8.30,  -59.74,   1.2,   0.0932,    0.499,    0.363
    8.40,  -59.60,   1.2,   0.0946,    0.497,    0.364
    8.50,  -59.47,   1.2,    0.096,    0.495,    0.365
    8.60,  -59.33,   1.2,   0.0974,    0.493,    0.366
    8.70,  -59.19,   1.2,   0.0989,    0.491,    0.368
    8.80,  -59.04,   1.2,      0.1,    0.489,    0.369
    8.90,  -58.90,   1.2,    0.102,    0.487,     0.37
    9.00,  -58.75,   1.2,    0.103,    0.485,    0.371
    9.10,  -58.59,   1.2,    0.105,    0.483,    0.373
    9.20,  -58.44,   1.2,    0.107,    0.481,    0.374
    9.30,  -58.27,   1.2,    0.109,    0.478,    0.375
    9.40,  -58.11,   1.2,     0.11,    0.476,    0.377
    9.50,  -57.93,   1.2,    0.112,    0.473,    0.378
    9.60,  -57.75,   1.2,    0.114,    0.471,     0.38
    9.70,  -57.56,   1.2,    0.116,    0.468,    0.381
    9.80,  -57.35,   1.2,    0.119,    0.465,    0.383
    9.90,  -57.14,   1.2,    0.121,    0.462,    0.385
   10.00,  -56.90,   1.2,    0.123,    0.459,    0.386
   10.10,  -56.65,   1.2,    0.126,    0.456,    0.388
   10.20,  -56.37,   1.2,    0.129,    0.453,     0.39
   10.30,  -56.06,   1.2,    0.132,    0.449,    0.392
   10.40,  -55.71,   1.2,    0.136,    0.446,    0.394
   10.50,  -55.31,   1.2,     0.14,    0.442,    0.396
   10.60,  -54.83,   1.2,    0.145,    0.438,    0.399
   10.70,  -54.27,   1.2,    0.151,    0.434,    0.401
   10.80,  -53.58,   1.2,    0.158,    0.429,    0.404
   10.90,  -52.70,   1.2,    0.166,    0.424,    0.407
   11.00,  -51.55,   1.2,    0.177,    0.418,     0.41
   11.10,  -49.97,   1.2,    0.191,    0.411,    0.414
   11.20,  -47.65,   1.2,     0.21,    0.402,    0.419
   11.30,  -43.98,   1.2,    0.239,    0.392,    0.425
   11.40,  -37.47,   1.2,    0.284,    0.377,    0.433
   11.50,  -24.04,   1.2,    0.363,    0.354,    0.445
   11.52,  -20.68,   1.2,    0.404,    0.345,    0.451
   11.55,  -16.16,   1.2,    0.449,    0.335,    0.457
   11.57,  -10.40,   1.2,    0.497,    0.324,    0.463
   11.60,   -3.43,   1.2,    0.551,    0.313,    0.471
   11.61,   -0.07,   1.2,    0.581,    0.307,    0.476
   11.62,    3.51,   1.2,    0.611,    0.302,    0.481
   11.64,    7.24,   1.2,    0.642,    0.296,    0.486
   11.65,   11.01,   1.2,    0.672,    0.291,    0.492
   11.66,   14.73,   1.2,    0.702,    0.286,    0.498
   11.67,   18.27,   1.2,    0.732,     0.28,    0.504
   11.69,   21.54,   1.2,     0.76,    0.275,     0.51
   11.70,   24.45,   1.2,    0.786,     0.27,    0.517
   11.72,   29.92,   1.2,    0.835,     0.26,     0.53
   11.75,   32.79,   1.2,    0.875,     0.25,    0.544
   11.77,   33.78,   1.2,    0.906,    0.241,    0.558
   11.80,   33.60,   1.2,     0.93,    0.232,    0.572
   11.82,   32.75,   1.2,    0.948,    0.223,    0.586
   11.85,   31.51,   1.2,    0.961,    0.215,    0.598
   11.87,   30.03,   1.2,     0.97,    0.207,     0.61
   11.90,   28.38,   1.2,    0.977,      0.2,    0.622
   11.92,   26.61,   1.2,    0.982,    0.192,    0.633
   11.95,   24.75,   1.2,    0.985,    0.185,    0.643
   11.98,   22.83,   1.2,    0.988,    0.178,    0.653
   12.00,   20.86,   1.2,    0.989,    0.172,    0.662
   12.03,   18.85,   1.2,     0.99,    0.165,     0.67
   12.05,   16.82,   1.2,    0.991,    0.159,    0.678
   12.08,   14.78,   1.2,    0.991,    0.153,    0.686
   12.10,   12.73,   1.2,    0.991,    0.148,    0.693
   12.13,   10.69,   1.2,    0.991,    0.142,    0.699
   12.15,    8.66,   1.2,    0.991,    0.137,    0.705
   12.18,    6.64,   1.2,     0.99,    0.132,    0.711
   12.20,    4.64,   1.2,    0.989,    0.127,    0.716
   12.23,    2.67,   1.2,    0.988,    0.123,    0.721
   12.25,    0.71,   1.2,    0.986,    0.118,    0.726
   12.28,   -1.22,   1.2,    0.985,    0.114,     0.73
   12.30,   -3.12,   1.2,    0.983,     0.11,    0.734
   12.33,   -4.99,   1.2,    0.981,    0.106,    0.738
   12.35,   -6.84,   1.2,    0.978,    0.103,    0.741
   12.38,   -8.66,   1.2,    0.975,   0.0992,    0.744
   12.40,  -10.45,   1.2,    0.972,   0.0959,    0.747
   12.43,  -12.21,   1.2,    0.968,   0.0928,    0.749
   12.45,  -13.95,   1.2,    0.964,   0.0898,    0.751
   12.48,  -15.66,   1.2,     0.96,    0.087,    0.753
   12.50,  -17.34,   1.2,    0.954,   0.0844,    0.755
   12.53,  -19.00,   1.2,    0.949,    0.082,    0.757
   12.55,  -20.63,   1.2,    0.942,   0.0797,    0.758
   12.58,  -22.25,   1.2,    0.935,   0.0775,    0.759
   12.60,  -23.84,   1.2,    0.928,   0.0755,     0.76
   12.65,  -28.42,   1.2,    0.911,   0.0719,    0.762
   12.70,  -31.69,   1.2,    0.887,   0.0692,    0.762
   12.75,  -34.91,   1.2,    0.859,   0.0671,    0.762
   12.80,  -38.17,   1.2,    0.825,   0.0657,    0.762
   12.85,  -41.54,   1.2,    0.785,   0.0649,     0.76
   12.90,  -45.07,   1.2,    0.738,   0.0648,    0.758
   12.95,  -48.80,   1.2,    0.682,   0.0653,    0.756
   13.00,  -52.72,   1.2,    0.616,   0.0665,    0.752
   13.05,  -56.74,   1.2,     0.54,   0.0684,    0.748
   13.10,  -60.64,   1.2,    0.455,   0.0711,    0.744
   13.15,  -64.10,   1.2,    0.366,   0.0746,    0.738
   13.25,  -70.68,   1.2,    0.205,   0.0833,    0.727
   13.35,  -71.39,   1.2,   0.0824,   0.0957,    0.714
   13.45,  -71.45,   1.2,   0.0414,    0.108,    0.702
   13.55,  -71.42,   1.2,   0.0292,    0.121,    0.689
   13.65,  -71.38,   1.2,   0.0257,    0.133,    0.677
   13.75,  -71.33,   1.2,   0.0247,    0.145,    0.665
   13.85,  -71.28,   1.2,   0.0246,    0.157,    0.654
   13.95,  -71.23,   1.2,   0.0246,    0.168,    0.643
   14.05,  -71.17,   1.2,   0.0248,    0.179,    0.632
   14.15,  -71.11,   1.2,   0.0249,     0.19,    0.621
   14.25,  -71.04,   1.2,   0.0251,    0.201,    0.611
   14.35,  -70.98,   1.2,   0.0253,    0.212,    0.601
   14.45,  -70.91,   1.2,   0.0255,    0.222,    0.592
   14.55,  -70.84,   1.2,   0.0257,    0.232,    0.582
   14.65,  -70.77,   1.2,   0.0259,    0.242,    0.573
   14.75,  -70.69,   1.2,   0.0262,    0.251,    0.564
   14.85,  -70.61,   1.2,   0.0264,    0.261,    0.556
   14.95,  -70.53,   1.2,   0.0267,     0.27,    0.547
   15.05,  -70.45,   1.2,   0.0269,    0.279,    0.539
   15.15,  -70.36,   1.2,   0.0272,    0.288,    0.531
   15.25,  -70.27,   1.2,   0.0275,    0.296,    0.524
   15.35,  -70.18,   1.2,   0.0278,    0.304,    0.516
   15.45,  -70.08,   1.2,   0.0281,    0.313,    0.509
   15.55,  -69.98,   1.2,   0.0285,     0.32,    0.502
   15.65,  -69.88,   1.2,   0.0288,    0.328,    0.495
   15.75,  -69.78,   1.2,   0.0291,    0.336,    0.489
   15.85,  -69.68,   1.2,   0.0295,    0.343,    0.482
   15.95,  -69.57,   1.2,   0.0299,     0.35,    0.476
   16.05,  -69.46,   1.2,   0.0303,    0.357,     0.47
   16.15,  -69.35,   1.2,   0.0307,    0.364,    0.465
   16.25,  -69.23,   1.2,   0.0311,     0.37,    0.459
   16.35,  -69.12,   1.2,   0.0315,    0.377,    0.454
   16.45,  -69.00,   1.2,    0.032,    0.383,    0.448
   16.55,  -68.88,   1.2,   0.0324,    0.389,    0.443
   16.65,  -68.76,   1.2,   0.0329,    0.395,    0.439
   16.75,  -68.64,   1.2,   0.0334,    0.401,    0.434
   16.85,  -68.51,   1.2,   0.0339,    0.406,    0.429
   16.95,  -68.39,   1.2,   0.0344,    0.411,    0.425
   17.05,  -68.26,   1.2,   0.0349,    0.417,    0.421
   17.15,  -68.13,   1.2,   0.0355,    0.422,    0.417
   17.25,  -68.00,   1.2,    0.036,    0.427,    0.413
