#time (msec), membrane voltage (mV), stimulus level (nA), m, h, n
    0.10,  -62.86,   0.0,   0.0679,    0.513,    0.354
    0.20,  -62.87,   0.0,   0.0679,    0.514,    0.354
    0.30,  -62.87,   0.0,   0.0679,    0.514,    0.354
    0.40,  -62.87,   0.0,   0.0679,    0.514,    0.353
    0.50,  -62.87,   0.0,   0.0678,    0.514,    0.353
    0.60,  -62.87,   0.0,   0.0678,    0.514,    0.353
    0.70,  -62.88,   0.0,   0.0678,    0.514,    0.353
    0.80,  -62.88,   0.0,   0.0678,    0.514,    0.353
    0.90,  -62.88,   0.0,   0.0678,    0.514,    0.353
    1.00,  -62.88,   0.0,   0.0678,    0.514,    0.353
    1.10,  -62.87,   0.0,   0.0678,    0.515,    0.353
    1.20,  -62.87,   0.0,   0.0678,    0.515,    0.353
    1.30,  -62.87,   0.0,   0.0678,    0.515,    0.353
    1.40,  -62.87,   0.0,   0.0678,    0.515,    0.353
    1.50,  -62.87,   0.0,   0.0678,    0.515,    0.353
    1.60,  -62.87,   0.0,   0.0678,    0.515,    0.353
    1.70,  -62.86,   0.0,   0.0678,    0.515,    0.353
    1.80,  -62.86,   0.0,   0.0679,    0.515,    0.353
    1.90,  -62.86,   0.0,   0.0679,    0.515,    0.353
    2.00,  -62.85,   0.0,   0.0679,    0.515,    0.352
    2.10,  -62.85,   0.0,   0.0679,    0.515,    0.352
    2.20,  -62.84,   0.0,    0.068,    0.516,    0.352
    2.30,  -62.84,   0.0,    0.068,    0.516,    0.352
    2.40,  -62.84,   0.0,    0.068,    0.516,    0.352
    2.50,  -62.83,   0.0,   0.0681,    0.516,    0.352
    2.60,  -62.83,   0.0,   0.0681,    0.516,    0.352
    2.70,  -62.82,   0.0,   0.0681,    0.516,    0.352
    2.80,  -62.82,   0.0,   0.0682,    0.516,    0.352
    2.90,  -62.81,   0.0,   0.0682,    0.516,    0.352
    3.00,  -62.81,   0.0,   0.0682,    0.516,    0.352
    3.10,  -62.80,   0.0,   0.0683,    0.516,    0.352
    3.20,  -62.79,   0.0,   0.0683,    0.516,    0.352
    3.30,  -62.79,   0.0,   0.0684,    0.516,    0.352
    3.40,  -62.78,   0.0,   0.0684,    0.516,    0.352
    3.50,  -62.78,   0.0,   0.0685,    0.516,    0.352
    3.60,  -62.77,   0.0,   0.0685,    0.516,    0.352
    3.70,  -62.77,   0.0,   0.0685,    0.516,    0.352
    3.80,  -62.76,   0.0,   0.0686,    0.516,    0.352
    3.90,  -62.76,   0.0,   0.0686,    0.516,    0.352
    4.00,  -62.75,   0.0,   0.0687,    0.516,    0.352
    4.10,  -62.74,   0.0,   0.0687,    0.516,    0.352
    4.20,  -62.74,   0.0,   0.0688,    0.516,    0.352
    4.30,  -62.73,   0.0,   0.0688,    0.516,    0.352
    4.40,  -62.73,   0.0,   0.0688,    0.516,    0.352
    4.50,  -62.72,   0.0,   0.0689,    0.516,    0.352
    4.60,  -62.72,   0.0,   0.0689,    0.516,    0.352
    4.70,  -62.71,   0.0,    0.069,    0.516,    0.352
    4.80,  -62.71,   0.0,    0.069,    0.516,    0.352
    4.90,  -62.70,   0.0,    0.069,    0.516,    0.352
    5.00,  -62.70,   0.0,   0.0691,    0.516,    0.352
    5.10,  -62.70,   0.0,   0.0691,    0.516,    0.352
    5.20,  -62.69,   0.0,   0.0692,    0.516,    0.352
    5.30,  -62.69,   0.0,   0.0692,    0.516,    0.352
    5.40,  -62.68,   0.0,   0.0692,    0.516,    0.353
    5.50,  -62.68,   0.0,   0.0693,    0.516,    0.353
    5.60,  -62.68,   0.0,   0.0693,    0.516,    0.353
    5.70,  -62.67,   0.0,   0.0693,    0.516,    0.353
    5.80,  -62.67,   0.0,   0.0693,    0.516,    0.353
    5.90,  -62.67,   0.0,   0.0694,    0.516,    0.353
    6.00,  -62.67,   0.0,   0.0694,    0.516,    0.353
    6.10,  -62.66,   0.0,   0.0694,    0.516,    0.353
    6.20,  -62.66,   0.0,   0.0694,    0.515,    0.353
    6.30,  -62.66,   0.0,   0.0694,    0.515,    0.353
    6.40,  -62.66,   0.0,   0.0695,    0.515,    0.353
    6.50,  -62.66,   0.0,   0.0695,    0.515,    0.353
    6.60,  -62.65,   0.0,   0.0695,    0.515,    0.353
    6.70,  -62.65,   0.0,   0.0695,    0.515,    0.353
    6.80,  -62.65,   0.0,   0.0695,    0.515,    0.353
    6.90,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.00,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.10,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.20,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.30,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.40,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.50,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.60,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.70,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.80,  -62.65,   0.0,   0.0695,    0.515,    0.353
    7.90,  -62.65,   0.0,   0.0695,    0.515,    0.353
    8.00,  -62.66,   0.0,   0.0695,    0.515,    0.353
    8.10,  -62.66,   0.0,   0.0695,    0.515,    0.353
    8.20,  -62.66,   0.0,   0.0695,    0.515,    0.353
    8.30,  -62.66,   0.0,   0.0695,    0.515,    0.353
    8.40,  -62.66,   0.0,   0.0695,    0.514,    0.353
    8.50,  -62.66,   0.0,   0.0695,    0.514,    0.353
    8.60,  -62.67,   0.0,   0.0695,    0.514,    0.353
