#time (msec), membrane voltage (mV), stimulus level (nA), m, h, n
    0.10,  -62.50,   0.0,   0.0709,    0.512,    0.355
    0.20,  -62.51,   0.0,   0.0708,    0.512,    0.355
    0.30,  -62.53,   0.0,   0.0707,    0.512,    0.355
    0.40,  -62.54,   0.0,   0.0706,    0.512,    0.355
    0.50,  -62.55,   0.0,   0.0705,    0.512,    0.355
    0.60,  -62.57,   0.0,   0.0704,    0.512,    0.355
    0.70,  -62.58,   0.0,   0.0703,    0.512,    0.355
    0.80,  -62.59,   0.0,   0.0702,    0.511,    0.355
    0.90,  -62.60,   0.0,   0.0701,    0.511,    0.355
    1.00,  -62.62,   0.0,     0.07,    0.511,    0.355
    1.10,  -62.63,   0.0,   0.0699,    0.511,    0.355
    1.20,  -62.64,   0.0,   0.0698,    0.511,    0.355
    1.30,  -62.66,   0.0,   0.0697,    0.511,    0.355
    1.40,  -62.67,   0.0,   0.0696,    0.511,    0.355
    1.50,  -62.68,   0.0,   0.0695,    0.512,    0.355
    1.60,  -62.70,   0.0,   0.0694,    0.512,    0.355
    1.70,  -62.71,   0.0,   0.0693,    0.512,    0.355
    1.80,  -62.72,   0.0,   0.0692,    0.512,    0.355
    1.90,  -62.73,   0.0,   0.0691,    0.512,    0.355
    2.00,  -62.74,   0.0,    0.069,    0.512,    0.355
    2.10,  -62.75,   0.0,   0.0689,    0.512,    0.355
    2.20,  -62.76,   0.0,   0.0688,    0.512,    0.355
    2.30,  -62.77,   0.0,   0.0687,    0.512,    0.355
    2.40,  -62.78,   0.0,   0.0687,    0.512,    0.355
    2.50,  -62.79,   0.0,   0.0686,    0.512,    0.355
    2.60,  -62.80,   0.0,   0.0685,    0.512,    0.355
    2.70,  -62.81,   0.0,   0.0684,    0.512,    0.354
    2.80,  -62.82,   0.0,   0.0684,    0.512,    0.354
    2.90,  -62.82,   0.0,   0.0683,    0.513,    0.354
    3.00,  -62.83,   0.0,   0.0682,    0.513,    0.354
    3.10,  -62.84,   0.0,   0.0682,    0.513,    0.354
    3.20,  -62.84,   0.0,   0.0681,    0.513,    0.354
    3.30,  -62.85,   0.0,   0.0681,    0.513,    0.354
    3.40,  -62.85,   0.0,    0.068,    0.513,    0.354
    3.50,  -62.86,   0.0,    0.068,    0.513,    0.354
    3.60,  -62.86,   0.0,    0.068,    0.513,    0.354
    3.70,  -62.87,   0.0,   0.0679,    0.513,    0.354
    3.80,  -62.87,   0.0,   0.0679,    0.514,    0.354
    3.90,  -62.87,   0.0,   0.0679,    0.514,    0.353
    4.00,  -62.87,   0.0,   0.0678,    0.514,    0.353
    4.10,  -62.88,   0.0,   0.0678,    0.514,    0.353
    4.20,  -62.88,   0.0,   0.0678,    0.514,    0.353
    4.30,  -62.88,   0.0,   0.0678,    0.514,    0.353
    4.40,  -62.88,   0.0,   0.0678,    0.514,    0.353
