#time (msec), membrane voltage (mV), stimulus level (nA), m, h, n
    0.10,  -61.83,   0.0,   0.0775,    0.498,    0.364
    0.20,  -61.90,   0.0,    0.077,    0.497,    0.364
    0.30,  -61.97,   0.0,   0.0764,    0.497,    0.365
    0.40,  -62.04,   0.0,   0.0758,    0.497,    0.365
    0.50,  -62.11,   0.0,   0.0752,    0.497,    0.365
    0.60,  -62.18,   0.0,   0.0746,    0.497,    0.364
    0.70,  -62.25,   0.0,    0.074,    0.497,    0.364
    0.80,  -62.33,   0.0,   0.0734,    0.497,    0.364
    0.90,  -62.40,   0.0,   0.0728,    0.497,    0.364
    1.00,  -62.47,   0.0,   0.0722,    0.497,    0.364
    1.10,  -62.54,   0.0,   0.0716,    0.497,    0.364
    1.20,  -62.61,   0.0,   0.0711,    0.497,    0.364
    1.30,  -62.67,   0.0,   0.0705,    0.498,    0.363
    1.40,  -62.74,   0.0,   0.0699,    0.498,    0.363
    1.50,  -62.80,   0.0,   0.0694,    0.498,    0.363
    1.60,  -62.86,   0.0,   0.0689,    0.499,    0.362
    1.70,  -62.92,   0.0,   0.0684,    0.499,    0.362
    1.80,  -62.97,   0.0,   0.0679,    0.499,    0.362
    1.90,  -63.02,   0.0,   0.0675,      0.5,    0.361
    2.00,  -63.07,   0.0,   0.0671,      0.5,    0.361
    2.10,  -63.12,   0.0,   0.0667,    0.501,    0.361
    2.20,  -63.16,   0.0,   0.0663,    0.501,     0.36
    2.30,  -63.20,   0.0,   0.0659,    0.502,     0.36
    2.40,  -63.24,   0.0,   0.0656,    0.502,     0.36
    2.50,  -63.28,   0.0,   0.0653,    0.503,    0.359
    2.60,  -63.31,   0.0,    0.065,    0.503,    0.359
    2.70,  -63.34,   0.0,   0.0647,    0.504,    0.358
    2.80,  -63.36,   0.0,   0.0645,    0.505,    0.358
    2.90,  -63.39,   0.0,   0.0643,    0.505,    0.357
    3.00,  -63.41,   0.0,   0.0641,    0.506,    0.357
    3.10,  -63.42,   0.0,   0.0639,    0.506,    0.357
    3.20,  -63.44,   0.0,   0.0638,    0.507,    0.356
    3.30,  -63.45,   0.0,   0.0636,    0.508,    0.356
    3.40,  -63.46,   0.0,   0.0635,    0.508,    0.355
    3.50,  -63.47,   0.0,   0.0634,    0.509,    0.355
    3.60,  -63.48,   0.0,   0.0634,    0.509,    0.355
    3.70,  -63.48,   0.0,   0.0633,     0.51,    0.354
    3.80,  -63.48,   0.0,   0.0633,    0.511,    0.354
    3.90,  -63.48,   0.0,   0.0632,    0.511,    0.354
    4.00,  -63.48,   0.0,   0.0632,    0.512,    0.353
    4.10,  -63.47,   0.0,   0.0632,    0.512,    0.353
    4.20,  -63.46,   0.0,   0.0633,    0.513,    0.353
    4.30,  -63.46,   0.0,   0.0633,    0.513,    0.352
    4.40,  -63.45,   0.0,   0.0633,    0.514,    0.352
    4.50,  -63.44,   0.0,   0.0634,    0.514,    0.352
    4.60,  -63.42,   0.0,   0.0635,    0.515,    0.351
    4.70,  -63.41,   0.0,   0.0636,    0.515,    0.351
    4.80,  -63.39,   0.0,   0.0637,    0.516,    0.351
    4.90,  -63.38,   0.0,   0.0638,    0.516,    0.351
    5.00,  -63.36,   0.0,   0.0639,    0.516,     0.35
    5.10,  -63.34,   0.0,    0.064,    0.517,     0.35
    5.20,  -63.32,   0.0,   0.0641,    0.517,     0.35
    5.30,  -63.30,   0.0,   0.0643,    0.518,     0.35
    5.40,  -63.28,   0.0,   0.0644,    0.518,     0.35
    5.50,  -63.26,   0.0,   0.0645,    0.518,     0.35
    5.60,  -63.24,   0.0,   0.0647,    0.518,    0.349
    5.70,  -63.21,   0.0,   0.0649,    0.519,    0.349
    5.80,  -63.19,   0.0,    0.065,    0.519,    0.349
    5.90,  -63.17,   0.0,   0.0652,    0.519,    0.349
    6.00,  -63.14,   0.0,   0.0654,    0.519,    0.349
    6.10,  -63.12,   0.0,   0.0656,     0.52,    0.349
    6.20,  -63.09,   0.0,   0.0657,     0.52,    0.349
