#time (msec), membrane voltage (mV), stimulus level (nA), m, h, n
    0.10,  -63.20,   0.0,   0.0649,    0.519,    0.349
    0.20,  -63.18,   0.0,   0.0651,    0.519,    0.349
    0.30,  -63.15,   0.0,   0.0653,     0.52,    0.349
    0.40,  -63.13,   0.0,   0.0655,     0.52,    0.349
    0.50,  -63.10,   0.0,   0.0656,     0.52,    0.349
    0.60,  -63.08,   0.0,   0.0658,     0.52,    0.349
    0.70,  -63.05,   0.0,    0.066,     0.52,    0.349
    0.80,  -63.03,   0.0,   0.0662,     0.52,    0.349
    0.90,  -63.00,   0.0,   0.0664,     0.52,    0.349
    1.00,  -62.97,   0.0,   0.0666,    0.521,    0.349
    1.10,  -62.95,   0.0,   0.0668,    0.521,    0.349
    1.20,  -62.92,   0.0,    0.067,    0.521,    0.349
    1.30,  -62.90,   0.0,   0.0672,    0.521,    0.349
    1.40,  -62.87,   0.0,   0.0674,    0.521,    0.349
    1.50,  -62.85,   0.0,   0.0676,    0.521,    0.349
    1.60,  -62.82,   0.0,   0.0678,    0.521,    0.349
    1.70,  -62.80,   0.0,    0.068,    0.521,    0.349
    1.80,  -62.77,   0.0,   0.0682,    0.521,    0.349
    1.90,  -62.75,   0.0,   0.0684,    0.521,    0.349
    2.00,  -62.73,   0.0,   0.0686,     0.52,    0.349
    2.10,  -62.70,   0.0,   0.0688,     0.52,    0.349
    2.20,  -62.68,   0.0,    0.069,     0.52,    0.349
    2.30,  -62.66,   0.0,   0.0691,     0.52,     0.35
    2.40,  -62.64,   0.0,   0.0693,     0.52,     0.35
    2.50,  -62.62,   0.0,   0.0695,     0.52,     0.35
    2.60,  -62.60,   0.0,   0.0696,     0.52,     0.35
    2.70,  -62.58,   0.0,   0.0698,    0.519,     0.35
    2.80,  -62.56,   0.0,     0.07,    0.519,     0.35
    2.90,  -62.54,   0.0,   0.0701,    0.519,     0.35
    3.00,  -62.53,   0.0,   0.0703,    0.519,    0.351
    3.10,  -62.51,   0.0,   0.0704,    0.519,    0.351
    3.20,  -62.50,   0.0,   0.0705,    0.519,    0.351
    3.30,  -62.48,   0.0,   0.0707,    0.518,    0.351
    3.40,  -62.47,   0.0,   0.0708,    0.518,    0.351
    3.50,  -62.46,   0.0,   0.0709,    0.518,    0.351
    3.60,  -62.45,   0.0,    0.071,    0.518,    0.352
    3.70,  -62.44,   0.0,   0.0711,    0.517,    0.352
    3.80,  -62.43,   0.0,   0.0712,    0.517,    0.352
    3.90,  -62.42,   0.0,   0.0713,    0.517,    0.352
    4.00,  -62.41,   0.0,   0.0713,    0.517,    0.352
    4.10,  -62.40,   0.0,   0.0714,    0.516,    0.352
    4.20,  -62.40,   0.0,   0.0715,    0.516,    0.353
    4.30,  -62.39,   0.0,   0.0715,    0.516,    0.353
    4.40,  -62.39,   0.0,   0.0716,    0.516,    0.353
    4.50,  -62.39,   0.0,   0.0716,    0.516,    0.353
    4.60,  -62.38,   0.0,   0.0717,    0.515,    0.353
    4.70,  -62.38,   0.0,   0.0717,    0.515,    0.353
    4.80,  -62.38,   0.0,   0.0717,    0.515,    0.353
    4.90,  -62.38,   0.0,   0.0717,    0.515,    0.354
    5.00,  -62.38,   0.0,   0.0717,    0.514,    0.354
    5.10,  -62.39,   0.0,   0.0717,    0.514,    0.354
