#time (msec), membrane voltage (mV), stimulus level (nA), m, h, n
    0.10,  -62.39,   0.0,   0.0716,    0.514,    0.354
    0.20,  -62.40,   0.0,   0.0716,    0.514,    0.354
    0.30,  -62.40,   0.0,   0.0716,    0.514,    0.354
    0.40,  -62.40,   0.0,   0.0716,    0.514,    0.354
    0.50,  -62.41,   0.0,   0.0716,    0.514,    0.354
    0.60,  -62.41,   0.0,   0.0715,    0.513,    0.354
    0.70,  -62.42,   0.0,   0.0715,    0.513,    0.354
    0.80,  -62.43,   0.0,   0.0715,    0.513,    0.355
    0.90,  -62.43,   0.0,   0.0714,    0.513,    0.355
    1.00,  -62.44,   0.0,   0.0713,    0.513,    0.355
    1.10,  -62.45,   0.0,   0.0713,    0.513,    0.355
    1.20,  -62.46,   0.0,   0.0712,    0.512,    0.355
    1.30,  -62.47,   0.0,   0.0711,    0.512,    0.355
    1.40,  -62.48,   0.0,   0.0711,    0.512,    0.355
    1.50,  -62.49,   0.0,    0.071,    0.512,    0.355
    1.60,  -62.50,   0.0,   0.0709,    0.512,    0.355
    1.70,  -62.52,   0.0,   0.0708,    0.512,    0.355
    1.80,  -62.53,   0.0,   0.0707,    0.512,    0.355
    1.90,  -62.54,   0.0,   0.0706,    0.512,    0.355
    2.00,  -62.55,   0.0,   0.0705,    0.512,    0.355
    2.10,  -62.56,   0.0,   0.0704,    0.512,    0.355
    2.20,  -62.58,   0.0,   0.0703,    0.512,    0.355
    2.30,  -62.59,   0.0,   0.0702,    0.512,    0.355
    2.40,  -62.60,   0.0,   0.0701,    0.511,    0.355
    2.50,  -62.61,   0.0,     0.07,    0.511,    0.355
    2.60,  -62.63,   0.0,   0.0699,    0.511,    0.355
    2.70,  -62.64,   0.0,   0.0698,    0.511,    0.355
    2.80,  -62.65,   0.0,   0.0697,    0.511,    0.355
    2.90,  -62.67,   0.0,   0.0696,    0.511,    0.355
    3.00,  -62.68,   0.0,   0.0695,    0.512,    0.355
    3.10,  -62.69,   0.0,   0.0694,    0.512,    0.355
    3.20,  -62.70,   0.0,   0.0693,    0.512,    0.355
    3.30,  -62.71,   0.0,   0.0692,    0.512,    0.355
    3.40,  -62.72,   0.0,   0.0691,    0.512,    0.355
    3.50,  -62.74,   0.0,   0.0691,    0.512,    0.355
    3.60,  -62.75,   0.0,    0.069,    0.512,    0.355
    3.70,  -62.76,   0.0,   0.0689,    0.512,    0.355
    3.80,  -62.77,   0.0,   0.0688,    0.512,    0.355
    3.90,  -62.78,   0.0,   0.0687,    0.512,    0.355
    4.00,  -62.79,   0.0,   0.0686,    0.512,    0.355
    4.10,  -62.79,   0.0,   0.0686,    0.512,    0.354
    4.20,  -62.80,   0.0,   0.0685,    0.512,    0.354
    4.30,  -62.81,   0.0,   0.0684,    0.512,    0.354
    4.40,  -62.82,   0.0,   0.0684,    0.513,    0.354
    4.50,  -62.82,   0.0,   0.0683,    0.513,    0.354
    4.60,  -62.83,   0.0,   0.0682,    0.513,    0.354
    4.70,  -62.84,   0.0,   0.0682,    0.513,    0.354
    4.80,  -62.84,   0.0,   0.0681,    0.513,    0.354
    4.90,  -62.85,   0.0,   0.0681,    0.513,    0.354
    5.00,  -62.85,   0.0,    0.068,    0.513,    0.354
    5.10,  -62.86,   0.0,    0.068,    0.513,    0.354
    5.20,  -62.86,   0.0,    0.068,    0.513,    0.354
    5.30,  -62.86,   0.0,   0.0679,    0.514,    0.354
    5.40,  -62.87,   0.0,   0.0679,    0.514,    0.354
    5.50,  -62.87,   0.0,   0.0679,    0.514,    0.353
    5.60,  -62.87,   0.0,   0.0679,    0.514,    0.353
    5.70,  -62.87,   0.0,   0.0678,    0.514,    0.353
    5.80,  -62.87,   0.0,   0.0678,    0.514,    0.353
    5.90,  -62.87,   0.0,   0.0678,    0.514,    0.353
    6.00,  -62.87,   0.0,   0.0678,    0.514,    0.353
    6.10,  -62.87,   0.0,   0.0678,    0.514,    0.353
    6.20,  -62.87,   0.0,   0.0678,    0.515,    0.353
    6.30,  -62.87,   0.0,   0.0678,    0.515,    0.353
    6.40,  -62.87,   0.0,   0.0678,    0.515,    0.353
    6.50,  -62.87,   0.0,   0.0678,    0.515,    0.353
    6.60,  -62.86,   0.0,   0.0678,    0.515,    0.353
    6.70,  -62.86,   0.0,   0.0678,    0.515,    0.353
    6.80,  -62.86,   0.0,   0.0679,    0.515,    0.353
    6.90,  -62.86,   0.0,   0.0679,    0.515,    0.353
    7.00,  -62.85,   0.0,   0.0679,    0.515,    0.353
    7.10,  -62.85,   0.0,   0.0679,    0.515,    0.352
    7.20,  -62.85,   0.0,    0.068,    0.515,    0.352
    7.30,  -62.84,   0.0,    0.068,    0.516,    0.352
    7.40,  -62.84,   0.0,    0.068,    0.516,    0.352
    7.50,  -62.83,   0.0,    0.068,    0.516,    0.352
    7.60,  -62.83,   0.0,   0.0681,    0.516,    0.352
    7.70,  -62.82,   0.0,   0.0681,    0.516,    0.352
    7.80,  -62.82,   0.0,   0.0682,    0.516,    0.352
    7.90,  -62.81,   0.0,   0.0682,    0.516,    0.352
    8.00,  -62.81,   0.0,   0.0682,    0.516,    0.352
    8.10,  -62.80,   0.0,   0.0683,    0.516,    0.352
    8.20,  -62.80,   0.0,   0.0683,    0.516,    0.352
    8.30,  -62.79,   0.0,   0.0683,    0.516,    0.352
    8.40,  -62.79,   0.0,   0.0684,    0.516,    0.352
    8.50,  -62.78,   0.0,   0.0684,    0.516,    0.352
    8.60,  -62.78,   0.0,   0.0685,    0.516,    0.352
    8.70,  -62.77,   0.0,   0.0685,    0.516,    0.352
    8.80,  -62.76,   0.0,   0.0686,    0.516,    0.352
    8.90,  -62.76,   0.0,   0.0686,    0.516,    0.352
    9.00,  -62.75,   0.0,   0.0686,    0.516,    0.352
    9.10,  -62.75,   0.0,   0.0687,    0.516,    0.352
    9.20,  -62.74,   0.0,   0.0687,    0.516,    0.352
    9.30,  -62.74,   0.0,   0.0688,    0.516,    0.352
    9.40,  -62.73,   0.0,   0.0688,    0.516,    0.352
    9.50,  -62.73,   0.0,   0.0689,    0.516,    0.352
    9.60,  -62.72,   0.0,   0.0689,    0.516,    0.352
    9.70,  -62.72,   0.0,   0.0689,    0.516,    0.352
    9.80,  -62.71,   0.0,    0.069,    0.516,    0.352
    9.90,  -62.71,   0.0,    0.069,    0.516,    0.352
   10.00,  -62.70,   0.0,   0.0691,    0.516,    0.352
   10.10,  -62.70,   0.0,   0.0691,    0.516,    0.352
   10.20,  -62.70,   0.0,   0.0691,    0.516,    0.352
   10.30,  -62.69,   0.0,   0.0692,    0.516,    0.352
   10.40,  -62.69,   0.0,   0.0692,    0.516,    0.353
   10.50,  -62.68,   0.0,   0.0692,    0.516,    0.353
   10.60,  -62.68,   0.0,   0.0693,    0.516,    0.353
   10.70,  -62.68,   0.0,   0.0693,    0.516,    0.353
   10.80,  -62.67,   0.0,   0.0693,    0.516,    0.353
   10.90,  -62.67,   0.0,   0.0693,    0.516,    0.353
   11.00,  -62.67,   0.0,   0.0694,    0.516,    0.353
   11.10,  -62.67,   0.0,   0.0694,    0.516,    0.353
   11.20,  -62.66,   0.0,   0.0694,    0.515,    0.353
   11.30,  -62.66,   0.0,   0.0694,    0.515,    0.353
   11.40,  -62.66,   0.0,   0.0694,    0.515,    0.353
   11.50,  -62.66,   0.0,   0.0695,    0.515,    0.353
   11.60,  -62.66,   0.0,   0.0695,    0.515,    0.353
   11.70,  -62.66,   0.0,   0.0695,    0.515,    0.353
   11.80,  -62.65,   0.0,   0.0695,    0.515,    0.353
   11.90,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.00,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.10,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.20,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.30,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.40,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.50,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.60,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.70,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.80,  -62.65,   0.0,   0.0695,    0.515,    0.353
   12.90,  -61.86,   8.0,   0.0695,    0.515,    0.353
   13.00,  -61.09,   8.0,   0.0727,    0.514,    0.354
   13.10,  -60.33,   8.0,   0.0775,    0.513,    0.354
   13.20,  -59.56,   8.0,   0.0833,    0.511,    0.355
   13.30,  -58.77,   8.0,   0.0898,    0.509,    0.357
   13.40,  -57.93,   8.0,   0.0972,    0.507,    0.359
   13.50,  -57.01,   8.0,    0.105,    0.503,    0.361
   13.60,  -55.99,   8.0,    0.115,    0.499,    0.363
   13.70,  -54.80,   8.0,    0.126,    0.494,    0.366
   13.80,  -53.34,   8.0,    0.139,    0.489,     0.37
