trialNumber,optionChose,rewardOutcomeDollars
1,2,1
2,2,1
3,1,1
4,1,1
5,2,1
6,2,0
7,1,1
8,2,0
9,2,0
10,1,1
11,1,0
12,1,1
13,1,0
14,1,1
15,1,0
16,1,0
17,2,0
18,1,1
19,1,1
20,1,1
21,1,1
22,1,0
23,1,1
24,2,0
25,1,1
26,2,0
27,1,1
28,1,1
29,2,0
30,1,0
31,1,1
32,2,0
33,1,1
34,2,0
35,2,1
36,2,0
37,2,1
38,2,1
39,2,0
40,2,0
41,2,0
42,1,1
43,2,0
44,2,0
45,1,0
46,2,0
47,1,1
48,2,1
49,2,0
50,2,0
51,2,0
52,2,0
53,1,1
54,2,0
55,1,1
56,2,1
57,2,0
58,2,0
59,1,1
60,2,0
61,1,1
62,2,0
63,1,1
64,2,0
65,2,0
66,2,0
67,1,1
68,1,1
69,2,0
70,2,0
71,2,0
72,2,0
73,1,1
74,2,1
75,1,1
76,2,1
77,2,1
78,1,1
79,2,1
80,1,1
81,2,0
82,1,1
83,1,1
84,1,0
85,1,0
86,2,1
87,1,1
88,1,0
89,1,0
90,1,1
91,1,1
92,2,0
93,2,0
94,1,0
95,1,1
96,1,1
97,1,0
98,1,1
99,2,0
100,1,0
101,1,1
102,2,0
103,2,0
104,1,0
105,2,1
106,1,1
107,1,1
108,2,0
109,2,1
110,2,0
111,1,1
112,1,0
113,2,0
114,1,1
115,1,0
116,2,0
117,1,0
118,2,0
119,1,1
120,1,0
121,1,1
122,1,1
123,2,0
124,2,0
125,1,1
126,1,1
127,1,1
128,1,0
129,2,0
130,1,0
131,2,1
132,2,0
133,2,0
134,1,1
135,1,1
136,2,0
137,1,1
138,1,1
139,2,0
140,2,0
141,1,1
142,1,0
143,1,1
144,2,1
145,2,0
146,1,1
147,2,0
148,2,0
149,1,0
150,2,0
151,1,1
152,2,0
153,2,0
154,1,1
155,1,1
156,2,1
157,2,0
158,2,0
159,2,0
160,2,0
161,2,0
162,1,1
163,1,1
164,1,1
165,2,0
166,2,0
167,1,1
168,2,1
169,1,1
170,2,0
171,1,1
172,2,0
173,2,0
174,2,0
175,1,0
176,1,1
177,2,1
178,1,0
179,1,1
180,1,1
181,2,0
182,1,1
183,2,0
184,1,1
185,1,1
186,2,1
187,2,0
188,1,1
189,1,0
190,1,1
191,2,0
192,1,1
193,2,1
194,1,0
195,2,0
196,1,1
197,1,1
198,1,0
199,2,1
200,2,0
